occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey,name_to_use,description_text,check_ENA_with_GBIF,manual_verification_needed
,Brachinus psophia,"Brachinus psophia Audinet-Serville, 1821",4474866,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Brachinus,Brachinus psophia,Brachinus psophia,"Audinet-Serville, 1821",4474866,,original,,,
,Bembidion laticolle,"Bembidion laticolle (Duftschmid, 1812)",7863844,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,Bembidion laticolle,Bembidion laticolle,"(Duftschmid, 1812) ",7863844,,original,,,
,Brachinus nigricornis,"Brachinus nigricornis Gebler, 1830",4474933,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Brachinus,Brachinus nigricornis,Brachinus nigricornis,"Gebler, 1830",4474933,,original,,,
,Bembidion reiseri,"Bembidion reiseri Apfelbeck, 1902",7403641,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,Bembidion reiseri,Bembidion reiseri,"Apfelbeck, 1902",7403641,,original,,,
,Platynus cyaneus,"Platynus cyaneus (Dejean, 1828)",8758282,EXACT,100,SYNONYM,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Anchomenus,Anchomenus cyaneus,Platynus cyaneus,"(Dejean, 1828) ",8758282,5754971,gbif,,yes,yes
,Broscus politus,"Broscus politus (Dejean, 1828)",4480398,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Broscus,Broscus politus,Broscus politus,"(Dejean, 1828) ",4480398,,original,,,
,Carabus bertolinii,"Carabus bertolinii (Kraatz, 1878)",4470917,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus bertolinii,Carabus bertolinii,"(Kraatz, 1878) ",4470917,,original,,,
,Bembidion foraminosum,"Bembidion foraminosum Sturm, 1825",8090178,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,Bembidion foraminosum,Bembidion foraminosum,"Sturm, 1825",8090178,,original,,,
,Meliboeus amethystinus,"Meliboeus amethystinus (Olivier, 1790)",4432445,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Meliboeus,Meliboeus amethystinus,Meliboeus amethystinus,"(Olivier, 1790) ",4432445,,original,,,
,Broscosoma baldense,"Broscosoma baldense Rosenhauer, 1846",4480403,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Broscosoma,Broscosoma baldense,Broscosoma baldense,"Rosenhauer, 1846",4480403,,original,,,
