verbatimScientificName	description
Attagenus silvaticus	https://www.gbif.org/species/4427439
Attagenus simplex	https://www.gbif.org/species/4427418
Attagenus maritimus	https://www.gbif.org/species/4427428
Attagenus fallax	https://www.gbif.org/species/4427467
Olibrus bisignatus	https://www.gbif.org/species/4450386
Attagenus tigrinus	https://www.gbif.org/species/4427420
Attagenus quadrimaculatus	https://www.gbif.org/species/4427437
Dermestes coronatus	https://www.gbif.org/species/4427395
Dermestes intermedius	https://www.gbif.org/species/4427403
Dermestes leopardinus	https://www.gbif.org/species/4427404
Scymnus pallidulus	https://www.gbif.org/species/8731159
Scymnus bivulnerus	https://www.gbif.org/species/8963416
Steropes caspius	https://www.gbif.org/species/6947400
Lithophilus marginatus	https://www.gbif.org/species/8956816
Scymnus fulvicollis	https://www.gbif.org/species/7794915
Scymnus flavicollis	https://www.gbif.org/species/9181591
Dermestes pardalis	https://www.gbif.org/species/4427393
Dermestes hirticollis	https://www.gbif.org/species/4427383
Globicornis picta	https://www.gbif.org/species/4427324
Globicornis tristis	https://www.gbif.org/species/4427334
Globicornis variegata	https://www.gbif.org/species/4427328
Megatoma ruficornis	https://www.gbif.org/species/7453491
Dermestes aurichalceus	https://www.gbif.org/species/4427400
Anthrenus pfefferi	https://www.gbif.org/species/4427312
Anthrenus signatus	https://www.gbif.org/species/4427299
Orphinus fulvipes	https://www.gbif.org/species/1095834
Thorictus baudii	https://www.gbif.org/species/4427534
Thorictus castaneus	https://www.gbif.org/species/4427523
Thorictus foreli	https://www.gbif.org/species/4427499
Thorictus franzi	https://www.gbif.org/species/4427529
Thorictus grandicollis	https://www.gbif.org/species/4427501
Thorictus mauritanicus	https://www.gbif.org/species/4427533
Thorictus orientalis	https://www.gbif.org/species/4427519
Thorictus pilosus	https://www.gbif.org/species/4427507
Thorictus dimidiatus	https://www.gbif.org/species/4427510
Thorictus ehlersii	https://www.gbif.org/species/4427497
Thorictus tuberosus	https://www.gbif.org/species/4427500
Thorictus wollastoni	https://www.gbif.org/species/4427502
Anthrenus sarnicus	https://www.gbif.org/species/4427306
Dryops striatopunctatus	https://www.gbif.org/species/6944620
Dryops caspius	https://www.gbif.org/species/9003540
Dryops doderoi	https://www.gbif.org/species/6944625
