occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,Malthodes graecus,"Malthodes graecus Kiesenwetter, 1872",4430546,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes graecus,Malthodes graecus,"Kiesenwetter, 1872",4430546,
,Malthodes laciniatus,"Malthodes laciniatus Kiesenwetter, 1852",4430619,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes laciniatus,Malthodes laciniatus,"Kiesenwetter, 1852",4430619,
,Malthodes lautus,"Malthodes lautus Kiesenwetter, 1852",4430576,EXACT,98,DOUBTFUL,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes lautus,Malthodes lautus,"Kiesenwetter, 1852",4430576,
,Malthodes ludwigi,"Malthodes ludwigi Pic, 1901",4430440,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes ludwigi,Malthodes ludwigi,"Pic, 1901",4430440,
,Malthodes mendax,"Malthodes mendax Kiesenwetter, 1871",4430704,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes mendax,Malthodes mendax,"Kiesenwetter, 1871",4430704,
,Malthodes novaki,"Malthodes novaki (Reitter, 1894)",4430503,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes novaki,Malthodes novaki,"(Reitter, 1894) ",4430503,
,Malthodes pusillopygus,"Malthodes pusillopygus Wittmer, 1965",4430609,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes pusillopygus,Malthodes pusillopygus,"Wittmer, 1965",4430609,
,Malthodes trifurcatus,"Malthodes trifurcatus Kiesenwetter, 1852",4430740,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes trifurcatus,Malthodes trifurcatus,"Kiesenwetter, 1852",4430740,
,Malthodes validicornis,"Malthodes validicornis Suffrian, 1851",4430662,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes validicornis,Malthodes validicornis,"Suffrian, 1851",4430662,
,Malthodes insulcatus,"Malthodes insulcatus Pic, 1903",4430707,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes insulcatus,Malthodes insulcatus,"Pic, 1903",4430707,
,Metacantharis balcanograeca,"Metacantharis balcanograeca Wittmer, 1969",4429637,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Metacantharis,Metacantharis balcanograeca,Metacantharis balcanograeca,"Wittmer, 1969",4429637,
,Metacantharis picciolii,"Metacantharis picciolii (Ragusa, 1870)",4429606,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Metacantharis,Metacantharis picciolii,Metacantharis picciolii,"(Ragusa, 1870) ",4429606,
,Metacantharis turcica,"Metacantharis turcica (Marseul, 1864)",4429633,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Metacantharis,Metacantharis turcica,Metacantharis turcica,"(Marseul, 1864) ",4429633,
,Occathemus tarsalis,"Occathemus tarsalis (Mulsant, 1862)",4429638,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Occathemus,Occathemus tarsalis,Occathemus tarsalis,"(Mulsant, 1862) ",4429638,
,Podistra birnbacheri,"Podistra birnbacheri Krauss, 1894",4429879,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Podistra,Podistra birnbacheri,Podistra birnbacheri,"Krauss, 1894",4429879,
,Podistra rupicola,"Podistra rupicola Kiesenwetter, 1863",4429881,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Podistra,Podistra rupicola,Podistra rupicola,"Kiesenwetter, 1863",4429881,
,Rhagonycha approximana,"Rhagonycha approximana (Fairmaire, 1884)",4429799,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha approximana,Rhagonycha approximana,"(Fairmaire, 1884) ",4429799,
,Rhagonycha bithinica,"Rhagonycha Eschscholtz, 1830",4407026,HIGHERRANK,96,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,,Rhagonycha,"Eschscholtz, 1830",4407026,
,Rhagonycha corcyrea,"Rhagonycha corcyrea Pic, 1901",4429706,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha corcyrea,Rhagonycha corcyrea,"Pic, 1901",4429706,
,Rhagonycha falcifera,"Rhagonycha falcifera Dahlgren, 1972",4429689,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha falcifera,Rhagonycha falcifera,"Dahlgren, 1972",4429689,
,Rhagonycha femoralis,"Rhagonycha femoralis (Brulle, 1832)",4429656,EXACT,100,SYNONYM,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha nigriventris,Rhagonycha femoralis,"(Brulle, 1832) ",4429656,4429721
,Rhagonycha fulvaliena,"Rhagonycha fulvaliena Svihla, 1995",4429732,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha fulvaliena,Rhagonycha fulvaliena,"Svihla, 1995",4429732,
,Rhagonycha genistae,"Rhagonycha genistae Kiesenwetter, 1865",4429817,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha genistae,Rhagonycha genistae,"Kiesenwetter, 1865",4429817,
,Rhagonycha gilvipennis,"Rhagonycha gilvipennis (Rosenhauer, 1856)",4429780,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha gilvipennis,Rhagonycha gilvipennis,"(Rosenhauer, 1856) ",4429780,
,Rhagonycha hesperica,"Rhagonycha hesperica Baudi, 1859",4429675,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha hesperica,Rhagonycha hesperica,"Baudi, 1859",4429675,
,Notoxus rubetorum,"Notoxus rubetorum Truqui, 1855",4457609,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Notoxus,Notoxus rubetorum,Notoxus rubetorum,"Truqui, 1855",4457609,
,Helophorus singularis,"Helophorus singularis L.Miller, 1881",9021777,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus singularis,Helophorus singularis,"L.Miller, 1881",9021777,
,Helophorus nevadensis,"Helophorus nevadensis (Sharp, 1916)",9078726,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus nevadensis,Helophorus nevadensis,"(Sharp, 1916) ",9078726,
,Rhagonycha milleri,"Rhagonycha milleri Kiesenwetter, 1860",4429782,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha milleri,Rhagonycha milleri,"Kiesenwetter, 1860",4429782,
,Rhagonycha opaca,"Rhagonycha opaca Mulsant, 1862",4429814,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha opaca,Rhagonycha opaca,"Mulsant, 1862",4429814,
,Steropes obscurans,"Steropes obscurans Pic, 1894",6947397,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Steropes,Steropes obscurans,Steropes obscurans,"Pic, 1894",6947397,
,Omonadus phoenicius,"Omonadus phoenicius (Truqui, 1855)",4458196,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Omonadus,Omonadus phoenicius,Omonadus phoenicius,"(Truqui, 1855) ",4458196,
,Malthodes recurvus,"Malthodes recurvus (Baudi di Selve, 1872)",4430549,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes recurvus,Malthodes recurvus,"(Baudi di Selve, 1872) ",4430549,
